nwb_id,path,size_mb,identifier
721625535,sub-720619787/sub-720619787_ses-721625535_icephys.nwb,48.0,5299077f-5aec-4fbc-ae0f-16284b05b0ef
727398050,sub-727391446/sub-727391446_ses-727398050_icephys.nwb,46.1,9a9f0de0-0f33-4a18-b65c-9b9b1232b15a
732048836,sub-731978186/sub-731978186_ses-732048836_icephys.nwb,43.8,b80e2808-1ed5-4eb8-b73b-987114331f16
732058767,sub-731978186/sub-731978186_ses-732058767_icephys.nwb,14.2,d631d2d6-ba7b-4efb-905b-f4688b12291e
732096400,sub-731978186/sub-731978186_ses-732096400_icephys.nwb,15.9,4b0484c6-e9fa-4ee8-b2eb-75d6ef4882d7
732105053,sub-731978186/sub-731978186_ses-732105053_icephys.nwb,48.1,ac39500f-3618-46c0-98f9-42c0d9b472e4
732115383,sub-731978186/sub-731978186_ses-732115383_icephys.nwb,46.6,a27f5f75-785f-4bf6-a2aa-08939e22657f
732127099,sub-731978186/sub-731978186_ses-732127099_icephys.nwb,47.4,003921e5-5640-49fc-8ec8-7def742d50c1
732141029,sub-731978186/sub-731978186_ses-732141029_icephys.nwb,16.4,8e529244-cc4e-4ba4-9299-357c9fddceb1
732151663,sub-731978186/sub-731978186_ses-732151663_icephys.nwb,46.6,e93385b4-9ad6-4d6e-8bef-de3a8084d0de
732151698,sub-731978186/sub-731978186_ses-732151698_icephys.nwb,14.6,4b7b1fca-8d7f-4396-8401-d5bcae1a625a
732162916,sub-731978186/sub-731978186_ses-732162916_icephys.nwb,47.8,1da01519-dcb6-49ff-b462-20735b889704
732171893,sub-731978186/sub-731978186_ses-732171893_icephys.nwb,46.7,e2cecdbe-7860-4f17-ba51-32870a007ba8
732592126,sub-731978186/sub-731978186_ses-732592126_icephys.nwb,45.4,bd2568ee-d8b4-4249-8dec-2ad3ddf78d50
732796111,sub-731978186/sub-731978186_ses-732796111_icephys.nwb,48.0,445acf67-58e3-4e46-a225-62ef6cc71de7
732796148,sub-731978186/sub-731978186_ses-732796148_icephys.nwb,46.7,8a01bf13-58e8-47cd-8974-3c1d5dec310d
734995561,sub-731978186/sub-731978186_ses-734995561_icephys.nwb,25.8,f803f9e2-0d2f-4223-9ccd-1e49c6182f5d
737082393,sub-736890023/sub-736890023_ses-737082393_icephys.nwb,28.6,68b0786d-c14f-483c-a6e5-b3ec67d56500
737158770,sub-736890023/sub-736890023_ses-737158770_icephys.nwb,21.5,899adafe-7fa8-41dd-98c2-3571e7e1c9c9
737548009,sub-737373545/sub-737373545_ses-737548009_icephys.nwb,18.2,5aa09955-f5c7-4ae9-930c-638e10cc0c80
737549006,sub-737373545/sub-737373545_ses-737549006_icephys.nwb,18.7,40c1aed3-d1b7-4546-891c-4023f47f1291
737549646,sub-737373545/sub-737373545_ses-737549646_icephys.nwb,18.7,d546a332-6730-49e7-8ff6-8f85004bbf7b
