,subclass_scANVI,subclass_conf_scANVI,supertype_scANVI,supertype_conf_scANVI
SM-GE8ZX_S115_E1-50,Pvalb,1.0,Pvalb_6,0.6168593764305115
AB-S40310_S724_E1-50,L5 IT,1.0,L5 IT_2,0.999962568283081
AB-S40310_S728_E1-50,L5/6 NP,1.0,L5/6 NP_1,0.926935851573944
AB-S40310_S733_E1-50,L4 IT,0.8270716667175293,L4 IT_2,0.9999905824661256
AB-S40310_S734_E1-50,L5 IT,1.0,L5 IT_7,0.6068435907363892
AB-S40310_S764_E1-50,L5 IT,0.9999994039535522,L5 IT_2,0.9999996423721312
AB-S40310_S765_E1-50,Sst,0.999886989593506,Sst_23,0.9531808495521544
AB-S40310_S766_E1-50,L6 IT,0.999450147151947,L6 IT_2,0.7094928026199341
AB-S40310_S767_E1-50,L5/6 NP,0.9999489784240724,L5/6 NP_1,0.9848184585571288
AB-S40310_S768_E1-50,L4 IT,0.9949837923049928,L4 IT_1,0.9970567226409912
SM-IYWLH_S356_E1-50,Lamp5,0.7792590260505676,Lamp5_6,0.9609254002571106
SM-IYWLH_S357_E1-50,L4 IT,0.999974489212036,L4 IT_2,0.9999979734420776
SM-IYWLH_S358_E1-50,L4 IT,0.5868713855743408,L4 IT_4,0.973249614238739
SM-IYWLH_S359_E1-50,L2/3 IT,0.9999382495880128,L2/3 IT_1,1.0
SM-IYWLH_S360_E1-50,L4 IT,0.998675525188446,L4 IT_2,0.9997360110282898
SM-IYWLH_S361_E1-50,L2/3 IT,0.9999839067459106,L2/3 IT_13,0.6283801794052124
SM-IYWLH_S362_E1-50,Sncg,0.9999991655349731,Sncg_4,0.9928832054138184
AB-S40310_S151_E1-50,L2/3 IT,0.9940827488899232,L2/3 IT_6,0.7089594006538391
AB-S40310_S152_E1-50,L6 IT,0.9955021739006042,L6 IT_2,0.999755561351776
AB-S40310_S185_E1-50,Sst,0.9997640252113342,Sst_23,0.9507046341896056
AB-S40310_S186_E1-50,Sst,0.9989091157913208,Sst_23,0.9854230880737304
AB-S40310_S187_E1-50,L4 IT,0.9999985694885254,L4 IT_1,0.99999737739563
AB-S40310_S188_E1-50,Sst,0.9992209672927856,Sst_23,0.732801079750061
AB-S40310_S189_E1-50,L4 IT,0.9999998807907104,L4 IT_2,0.9945989847183228
AB-S40310_S190_E1-50,L4 IT,0.3892582058906555,L4 IT_2,0.9999699592590332
AB-S40310_S250_E1-50,Sst,0.6028168797492981,Sst_9,0.9999896287918092
AB-S40310_S251_E1-50,Vip,1.0,Vip_2,0.7163822650909424
SM-J2NSZ_S272_E1-50,L4 IT,0.9998905658721924,L4 IT_2,0.9995242357254028
SM-J2NSZ_S273_E1-50,L4 IT,0.9999996423721312,L4 IT_2,0.9999924898147584
SM-J2NSZ_S274_E1-50,L4 IT,0.9803177118301392,L4 IT_2,0.9998149275779724
SM-J2NSZ_S275_E1-50,L4 IT,0.5161257982254028,L4 IT_2,0.9999430179595948
SM-J2NSZ_S276_E1-50,L2/3 IT,0.9509403109550476,L2/3 IT_10,0.5087028741836548
SM-J2NSZ_S277_E1-50,L4 IT,0.999903678894043,L4 IT_2,0.5328104496002197
SM-J2NT9_S443_E1-50,L2/3 IT,1.0,L2/3 IT_12,0.9506030678749084
SM-J2NT9_S444_E1-50,L5 IT,0.745716392993927,L5 IT_6,0.7118176221847534
SM-J2NT9_S471_E1-50,Sst,0.9998897314071656,Sst_23,0.988806962966919
SM-J2NT9_S472_E1-50,L4 IT,1.0,L4 IT_1,0.9466356635093688
SM-J2NT9_S473_E1-50,L4 IT,0.999996304512024,L4 IT_1,0.999996781349182
SM-J2NT9_S693_E1-50,Sst,0.999992847442627,Sst_25,0.999996781349182
SM-J2NT9_S694_E1-50,Pvalb,0.9912840127944946,Pvalb_8,0.8252170085906982
SM-J2NT9_S695_E1-50,Pvalb,1.0,Pvalb_15,0.9999570846557616
SM-J2NT9_S696_E1-50,Pvalb,0.9998620748519896,Pvalb_2,0.7476040720939636
SM-J2NT9_S705_E1-50,Sst,0.9994733929634094,Sst_11,0.9999063014984132
SM-J2NT9_S706_E1-50,Sst,1.0,Sst_13,0.8494753241539001
