ses_id,path,size_mb,identifier
768890937,sub-768678784/sub-768678784_ses-768890937_icephys.nwb,23.3,11285d88-1e97-4b18-b5b1-d87210f2cf7e
768893700,sub-768678784/sub-768678784_ses-768893700_icephys.nwb,20.0,c23e3ca7-f12f-4eca-9925-3cabfb8d6c8a
769331047,sub-768678784/sub-768678784_ses-769331047_icephys.nwb,42.5,df79908f-033e-4fa2-ad55-64a3c44bbc45
770249836,sub-770227957/sub-770227957_ses-770249836_icephys.nwb,40.7,a8cf2b9c-cf3f-4193-b04f-181933ca03f3
783622434,sub-783453365/sub-783453365_ses-783622434_icephys.nwb,20.0,b610dccf-f33e-424f-af2e-062d88c51d87
798008836,sub-797676582/sub-797676582_ses-798008836_icephys.nwb,29.2,5bee78df-5dd2-4047-aafd-86752504c2c0
798060118,sub-797676582/sub-797676582_ses-798060118_icephys.nwb,19.5,c5bb45a0-7625-43a0-bcd8-437629a12732
805728630,sub-805678822/sub-805678822_ses-805728630_icephys.nwb,21.2,eae9d441-330c-42c0-a9ec-47d2c2c65121
805729773,sub-805678822/sub-805678822_ses-805729773_icephys.nwb,35.2,994f7a67-4f32-43ab-aeba-1a5d35610d48
805732930,sub-805678822/sub-805678822_ses-805732930_icephys.nwb,52.0,6b76fe3e-f18d-4bc7-b2e8-df196baa7dad
805740144,sub-805678822/sub-805678822_ses-805740144_icephys.nwb,64.4,84a74db5-27f7-4c50-9078-c18fc6688ba3
805743190,sub-805678822/sub-805678822_ses-805743190_icephys.nwb,62.7,5cc5e95c-4f5f-43c9-986b-fdef7daf173f
805751525,sub-805678822/sub-805678822_ses-805751525_icephys.nwb,42.1,e89eb647-7d7f-495b-9578-cfb6879269cd
805771597,sub-805678822/sub-805678822_ses-805771597_icephys.nwb,26.1,aa064d68-2b6f-412c-910b-bec380ecec37
811800576,sub-811677083/sub-811677083_ses-811800576_icephys.nwb,40.3,6cde9259-6fdf-41d3-a86a-590a2a8b4d51
811803942,sub-811677083/sub-811677083_ses-811803942_icephys.nwb,31.1,4601a2a8-e784-4e60-a361-79c0c95a21b3
811830124,sub-811677083/sub-811677083_ses-811830124_icephys.nwb,28.9,0dc76a3f-bd3b-4a67-989d-dc3405bef686
811830262,sub-811677083/sub-811677083_ses-811830262_icephys.nwb,46.6,f0d2d839-c58f-492f-995b-9f40e2eb81ec
811837270,sub-811677083/sub-811677083_ses-811837270_icephys.nwb,21.8,bcea9ae7-3971-4aa1-b6ab-9d472ff6f90c
811861065,sub-811677083/sub-811677083_ses-811861065_icephys.nwb,71.5,08574592-80b7-4b3e-9b77-d6c43ce04686
811889847,sub-811677083/sub-811677083_ses-811889847_icephys.nwb,67.1,03df30ae-1cc5-4cf0-8ae4-1d886b1f058d
811899372,sub-811677083/sub-811677083_ses-811899372_icephys.nwb,39.5,2a4032a1-594a-4643-a2bb-ffd595c798fb
811921991,sub-811677083/sub-811677083_ses-811921991_icephys.nwb,19.7,0214a6cc-3587-49db-8fe1-5702191c6ca6
811923120,sub-811677083/sub-811677083_ses-811923120_icephys.nwb,23.0,78c62f0b-142e-43f6-885a-b750dffc9785
